local_id: 387 || global_id: 387 || residential_pe: 0
local_id: 388 || global_id: 388 || residential_pe: 0
local_id: 389 || global_id: 389 || residential_pe: 0
local_id: 390 || global_id: 390 || residential_pe: 0
local_id: 391 || global_id: 391 || residential_pe: 0
local_id: 392 || global_id: 392 || residential_pe: 0
local_id: 393 || global_id: 393 || residential_pe: 0
local_id: 394 || global_id: 394 || residential_pe: 0
local_id: 395 || global_id: 395 || residential_pe: 0
local_id: 396 || global_id: 396 || residential_pe: 0
local_id: 397 || global_id: 397 || residential_pe: 0
local_id: 398 || global_id: 398 || residential_pe: 0
local_id: 399 || global_id: 399 || residential_pe: 0
local_id: 400 || global_id: 400 || residential_pe: 0
local_id: 401 || global_id: 401 || residential_pe: 0
local_id: 402 || global_id: 402 || residential_pe: 0
local_id: 403 || global_id: 403 || residential_pe: 0
local_id: 404 || global_id: 404 || residential_pe: 0
local_id: 405 || global_id: 405 || residential_pe: 0
local_id: 406 || global_id: 406 || residential_pe: 0
local_id: 407 || global_id: 407 || residential_pe: 0
local_id: 408 || global_id: 408 || residential_pe: 0
local_id: 409 || global_id: 409 || residential_pe: 0
local_id: 410 || global_id: 410 || residential_pe: 0
local_id: 411 || global_id: 411 || residential_pe: 0
local_id: 412 || global_id: 412 || residential_pe: 0
local_id: 413 || global_id: 413 || residential_pe: 0
local_id: 414 || global_id: 414 || residential_pe: 0
local_id: 415 || global_id: 415 || residential_pe: 0
local_id: 416 || global_id: 416 || residential_pe: 0
local_id: 417 || global_id: 417 || residential_pe: 0
local_id: 418 || global_id: 418 || residential_pe: 0
local_id: 419 || global_id: 419 || residential_pe: 0
local_id: 420 || global_id: 420 || residential_pe: 0
local_id: 421 || global_id: 421 || residential_pe: 0
local_id: 422 || global_id: 422 || residential_pe: 0
local_id: 423 || global_id: 423 || residential_pe: 0
local_id: 424 || global_id: 424 || residential_pe: 0
local_id: 425 || global_id: 425 || residential_pe: 0
local_id: 426 || global_id: 426 || residential_pe: 0
local_id: 427 || global_id: 427 || residential_pe: 0
local_id: 428 || global_id: 428 || residential_pe: 0
local_id: 429 || global_id: 429 || residential_pe: 0
local_id: 430 || global_id: 430 || residential_pe: 0
local_id: 431 || global_id: 431 || residential_pe: 0
local_id: 432 || global_id: 432 || residential_pe: 0
local_id: 433 || global_id: 433 || residential_pe: 0
local_id: 434 || global_id: 434 || residential_pe: 0
local_id: 435 || global_id: 435 || residential_pe: 0
local_id: 436 || global_id: 436 || residential_pe: 0
local_id: 437 || global_id: 437 || residential_pe: 0
local_id: 438 || global_id: 438 || residential_pe: 0
local_id: 439 || global_id: 439 || residential_pe: 0
local_id: 440 || global_id: 440 || residential_pe: 0
local_id: 441 || global_id: 441 || residential_pe: 0
local_id: 442 || global_id: 442 || residential_pe: 0
local_id: 443 || global_id: 443 || residential_pe: 0
local_id: 444 || global_id: 444 || residential_pe: 0
local_id: 445 || global_id: 445 || residential_pe: 0
local_id: 446 || global_id: 446 || residential_pe: 0
local_id: 447 || global_id: 447 || residential_pe: 0
local_id: 448 || global_id: 448 || residential_pe: 0
local_id: 449 || global_id: 449 || residential_pe: 0
local_id: 450 || global_id: 450 || residential_pe: 0
local_id: 451 || global_id: 451 || residential_pe: 0
local_id: 452 || global_id: 452 || residential_pe: 0
local_id: 453 || global_id: 453 || residential_pe: 0
local_id: 454 || global_id: 454 || residential_pe: 0
local_id: 455 || global_id: 455 || residential_pe: 0
local_id: 456 || global_id: 456 || residential_pe: 0
local_id: 457 || global_id: 457 || residential_pe: 0
local_id: 458 || global_id: 458 || residential_pe: 0
local_id: 459 || global_id: 459 || residential_pe: 0
local_id: 460 || global_id: 460 || residential_pe: 0
local_id: 461 || global_id: 461 || residential_pe: 0
local_id: 462 || global_id: 462 || residential_pe: 0
local_id: 463 || global_id: 463 || residential_pe: 0
local_id: 464 || global_id: 464 || residential_pe: 0
local_id: 465 || global_id: 465 || residential_pe: 0
local_id: 466 || global_id: 466 || residential_pe: 0
local_id: 467 || global_id: 467 || residential_pe: 0
local_id: 468 || global_id: 468 || residential_pe: 0
local_id: 469 || global_id: 469 || residential_pe: 0
local_id: 470 || global_id: 470 || residential_pe: 0
local_id: 471 || global_id: 471 || residential_pe: 0
local_id: 472 || global_id: 472 || residential_pe: 0
local_id: 473 || global_id: 473 || residential_pe: 0
local_id: 474 || global_id: 474 || residential_pe: 0
local_id: 475 || global_id: 475 || residential_pe: 0
local_id: 476 || global_id: 476 || residential_pe: 0
local_id: 477 || global_id: 477 || residential_pe: 0
local_id: 478 || global_id: 478 || residential_pe: 0
local_id: 479 || global_id: 479 || residential_pe: 0
local_id: 480 || global_id: 480 || residential_pe: 0
local_id: 481 || global_id: 481 || residential_pe: 0
local_id: 482 || global_id: 482 || residential_pe: 0
local_id: 483 || global_id: 483 || residential_pe: 0
local_id: 484 || global_id: 484 || residential_pe: 0
local_id: 485 || global_id: 485 || residential_pe: 0
local_id: 486 || global_id: 486 || residential_pe: 0
local_id: 487 || global_id: 487 || residential_pe: 0
local_id: 488 || global_id: 488 || residential_pe: 0
local_id: 489 || global_id: 489 || residential_pe: 0
local_id: 490 || global_id: 490 || residential_pe: 0
local_id: 491 || global_id: 491 || residential_pe: 0
local_id: 492 || global_id: 492 || residential_pe: 0
local_id: 493 || global_id: 493 || residential_pe: 0
local_id: 494 || global_id: 494 || residential_pe: 0
local_id: 495 || global_id: 495 || residential_pe: 0
local_id: 496 || global_id: 496 || residential_pe: 0
local_id: 497 || global_id: 497 || residential_pe: 0
local_id: 498 || global_id: 498 || residential_pe: 0
local_id: 499 || global_id: 499 || residential_pe: 0
local_id: 500 || global_id: 500 || residential_pe: 0
local_id: 501 || global_id: 501 || residential_pe: 0
local_id: 502 || global_id: 502 || residential_pe: 0
local_id: 503 || global_id: 503 || residential_pe: 0
local_id: 504 || global_id: 504 || residential_pe: 0
local_id: 505 || global_id: 505 || residential_pe: 0
local_id: 506 || global_id: 506 || residential_pe: 0
local_id: 507 || global_id: 507 || residential_pe: 0
local_id: 508 || global_id: 508 || residential_pe: 0
local_id: 509 || global_id: 509 || residential_pe: 0
local_id: 510 || global_id: 510 || residential_pe: 0
local_id: 511 || global_id: 511 || residential_pe: 0
local_id: 512 || global_id: 512 || residential_pe: 0
local_id: 513 || global_id: 513 || residential_pe: 0
local_id: 514 || global_id: 514 || residential_pe: 0
local_id: 515 || global_id: 515 || residential_pe: 0
local_id: 516 || global_id: 516 || residential_pe: 0
local_id: 517 || global_id: 517 || residential_pe: 0
local_id: 518 || global_id: 518 || residential_pe: 0
local_id: 519 || global_id: 519 || residential_pe: 0
local_id: 520 || global_id: 520 || residential_pe: 0
local_id: 521 || global_id: 521 || residential_pe: 0
local_id: 522 || global_id: 522 || residential_pe: 0
local_id: 523 || global_id: 523 || residential_pe: 0
local_id: 524 || global_id: 524 || residential_pe: 0
local_id: 525 || global_id: 525 || residential_pe: 0
local_id: 526 || global_id: 526 || residential_pe: 0
local_id: 527 || global_id: 527 || residential_pe: 0
local_id: 528 || global_id: 528 || residential_pe: 0
local_id: 529 || global_id: 529 || residential_pe: 0
local_id: 530 || global_id: 530 || residential_pe: 0
local_id: 531 || global_id: 531 || residential_pe: 0
local_id: 532 || global_id: 532 || residential_pe: 0
local_id: 533 || global_id: 533 || residential_pe: 0
local_id: 534 || global_id: 534 || residential_pe: 0
local_id: 535 || global_id: 535 || residential_pe: 0
local_id: 536 || global_id: 536 || residential_pe: 0
local_id: 537 || global_id: 537 || residential_pe: 0
local_id: 538 || global_id: 538 || residential_pe: 0
local_id: 539 || global_id: 539 || residential_pe: 0
local_id: 540 || global_id: 540 || residential_pe: 0
local_id: 541 || global_id: 541 || residential_pe: 0
local_id: 542 || global_id: 542 || residential_pe: 0
local_id: 543 || global_id: 543 || residential_pe: 0
local_id: 544 || global_id: 544 || residential_pe: 0
local_id: 545 || global_id: 545 || residential_pe: 0
local_id: 546 || global_id: 546 || residential_pe: 0
local_id: 547 || global_id: 547 || residential_pe: 0
local_id: 548 || global_id: 548 || residential_pe: 0
local_id: 549 || global_id: 549 || residential_pe: 0
local_id: 550 || global_id: 550 || residential_pe: 0
local_id: 551 || global_id: 551 || residential_pe: 0
local_id: 552 || global_id: 552 || residential_pe: 0
local_id: 553 || global_id: 553 || residential_pe: 0
local_id: 554 || global_id: 554 || residential_pe: 0
local_id: 555 || global_id: 555 || residential_pe: 0
local_id: 556 || global_id: 556 || residential_pe: 0
local_id: 557 || global_id: 557 || residential_pe: 0
local_id: 558 || global_id: 558 || residential_pe: 0
local_id: 559 || global_id: 559 || residential_pe: 0
